input_text,target_text
compound: airport spokesman,owner_emp_use
compound: army spokesman,owner_emp_use
compound: city spokesman,owner_emp_use
compound: commission spokesman,owner_emp_use
compound: committee spokesman,owner_emp_use
compound: company spokesman,owner_emp_use
compound: defence spokesman,owner_emp_use
compound: employment spokesman,owner_emp_use
compound: government spokesman,owner_emp_use
compound: health spokesman,owner_emp_use
compound: labour spokesman,owner_emp_use
compound: military spokesman,owner_emp_use
compound: ministry spokesman,owner_emp_use
compound: navy spokesman,owner_emp_use
compound: opposition spokesman,owner_emp_use
compound: party spokesman,owner_emp_use
compound: police spokesman,owner_emp_use
compound: press spokesman,owner_emp_use
compound: prison spokesman,owner_emp_use
compound: security spokesman,owner_emp_use
compound: service spokesman,owner_emp_use
compound: solidarity spokesman,owner_emp_use
compound: team spokesman,owner_emp_use
compound: transport spokesman,owner_emp_use
compound: airport spokeswoman,owner_emp_use
compound: army spokeswoman,owner_emp_use
compound: city spokeswoman,owner_emp_use
compound: commission spokeswoman,owner_emp_use
compound: company spokeswoman,owner_emp_use
compound: government spokeswoman,owner_emp_use
compound: ministry spokeswoman,owner_emp_use
compound: navy spokeswoman,owner_emp_use
compound: police spokeswoman,owner_emp_use
compound: army staff,owner_emp_use
compound: city staff,owner_emp_use
compound: commission staff,owner_emp_use
compound: committee staff,owner_emp_use
compound: hotel staff,owner_emp_use
compound: party strategist,owner_emp_use
compound: police superintendent,owner_emp_use
compound: army team,owner_emp_use
compound: government technocrat,owner_emp_use
compound: army troop,owner_emp_use
compound: government troop,owner_emp_use
compound: government work,owner_emp_use
compound: party work,owner_emp_use
compound: broadcast license,purpose
compound: snack food,purpose
compound: lounge wear,purpose
compound: paint brush,purpose
compound: alarm clock,purpose
compound: work cloth,purpose
compound: rescue equipment,purpose
compound: support equipment,purpose
compound: transport equipment,purpose
compound: copy machine,purpose
compound: fax machine,purpose
compound: guard rail,purpose
compound: assault rifle,purpose
compound: picnic table,purpose
compound: tow truck,purpose
compound: launch vehicle,purpose
compound: rescue vehicle,purpose
compound: star vehicle,purpose
compound: transport vehicle,purpose
compound: patrol vessel,purpose
compound: rescue vessel,purpose
compound: research vessel,purpose
compound: assault weapon,purpose
compound: design world,purpose
compound: aid material,purpose
compound: relief material,purpose
compound: research material,purpose
compound: bridge loan,purpose
compound: search engine,purpose
compound: fund system,other
compound: leadership system,other
compound: pay system,other
compound: portfolio strategy,other
compound: skin tone,complement
compound: ocean temperature,complement
compound: oven temperature,complement
compound: water temperature,complement
compound: student age,complement
compound: passenger age,complement
compound: clock speed,complement
compound: brand name,complement
compound: city name,complement
compound: company name,complement
compound: fund name,complement
compound: user name,complement
compound: victim name,complement
compound: jersey number,complement
compound: student number,complement
compound: book title,complement
compound: cash value,complement
compound: entertainment value,complement
compound: home value,complement
compound: import value,complement
compound: investment value,complement
compound: portfolio value,complement
compound: property value,complement
compound: shock value,complement
compound: accident rate,complement
compound: accuracy rate,complement
compound: cancer rate,complement
compound: casualty rate,complement
compound: death rate,complement
compound: delinquency rate,complement
compound: employment rate,complement
compound: enrollment rate,complement
compound: error rate,complement
compound: fatality rate,complement
compound: illiteracy rate,complement
compound: participation rate,complement
compound: pass rate,complement
compound: pregnancy rate,complement
compound: prevalence rate,complement
compound: recovery rate,complement
compound: reimbursement rate,complement
compound: repurchase rate,complement
compound: response rate,complement
compound: reversal rate,complement
compound: support rate,complement
compound: survival rate,complement
compound: infection rate,complement
compound: graduation rate,complement
compound: incarceration rate,complement
compound: literacy rate,complement
compound: injury rate,complement
compound: cure rate,complement
compound: incidence rate,complement
compound: borrowing rate,complement
compound: cash rate,complement
compound: fund rate,complement
compound: deposit rate,complement
compound: consumption rate,complement
compound: inflation rate,complement
compound: aid rate,complement
compound: annuity rate,complement
compound: barge rate,complement
compound: base rate,complement
compound: coupon rate,complement
compound: duty rate,complement
compound: guarantee rate,complement
compound: income tax rate,complement
compound: increase rate,complement
compound: investment rate,complement
compound: money rate,complement
compound: order rate,complement
compound: percentage rate,complement
compound: profit rate,complement
compound: property rate,complement
compound: selling rate,complement
compound: transport rate,complement
compound: celebrity clout,complement
compound: agency clout,complement
compound: superpower clout,complement
compound: executive power,complement
compound: government power,complement
compound: police power,complement
compound: policy direction,complement
compound: health status,complement
compound: brokerage commission,purpose
compound: inspection commission,purpose
compound: police commission,purpose
compound: trading commission,purpose
compound: appropriation committee,purpose
compound: banking committee,purpose
compound: bargaining committee,purpose
compound: commerce committee,purpose
compound: defence committee,purpose
compound: expansion committee,purpose
compound: intelligence committee,purpose
compound: investment committee,purpose
compound: judiciary committee,purpose
compound: mediation committee,purpose
compound: nominating committee,purpose
compound: screening committee,purpose
compound: selection committee,purpose
compound: banking company,purpose
compound: brokerage company,purpose
compound: capitalization company,purpose
compound: catering company,purpose
compound: commerce company,purpose
compound: communication company,purpose
compound: defence company,purpose
compound: delivery company,purpose
compound: distribution company,purpose
compound: engineering company,purpose
compound: entertainment company,purpose
compound: equipment company,purpose
compound: exploration company,purpose
compound: factoring company,purpose
compound: fishing company,purpose
compound: forestry company,purpose
compound: investment company,purpose
compound: logging company,purpose
compound: maintenance company,purpose
compound: manufacturing company,purpose
compound: networking company,purpose
compound: processing company,purpose
compound: rating company,purpose
compound: recording company,purpose
compound: recycling company,purpose
compound: reinsurance company,purpose
compound: salvage company,purpose
compound: service company,purpose
compound: storage company,purpose
compound: testing company,purpose
compound: trading company,purpose
compound: transportation company,purpose
compound: trucking company,purpose
compound: manufacturing enterprise,purpose
compound: processing enterprise,purpose
compound: service enterprise,purpose
compound: banking firm,purpose
compound: clearing firm,purpose
compound: communication firm,purpose
compound: engineering firm,purpose
compound: investment firm,purpose
compound: manufacturing firm,purpose
compound: outplacement firm,purpose
compound: rating firm,purpose
compound: service firm,purpose
compound: trading firm,purpose
compound: trucking firm,purpose
compound: aerospace group,purpose
compound: banking group,purpose
compound: communication group,purpose
compound: defence group,purpose
compound: distribution group,purpose
compound: engineering group,purpose
compound: entertainment group,purpose
compound: equipment group,purpose
compound: forestry group,purpose
compound: government group,purpose
compound: inspection group,purpose
compound: investment group,purpose
compound: manufacturing group,purpose
compound: protection group,purpose
compound: publishing group,purpose
compound: service group,purpose
compound: trading group,purpose
compound: transportation group,purpose
compound: packing house,purpose
compound: trading house,purpose
compound: communication officer,purpose
compound: appropriation panel,purpose
compound: arbitration panel,purpose
compound: accounting profession,purpose
compound: teaching profession,purpose
compound: investment professional,purpose
compound: teaching staff,purpose
compound: cycling team,purpose
compound: diving team,purpose
compound: expansion team,purpose
compound: fact finding team,purpose
compound: inspection team,purpose
compound: prosecution team,purpose
compound: recovery team,purpose
compound: transition team,purpose
compound: banking unit,purpose
compound: bargaining unit,purpose
compound: communication unit,purpose
compound: engineering unit,purpose
compound: equipment unit,purpose
compound: intelligence unit,purpose
compound: investment unit,purpose
compound: manufacturing unit,purpose
compound: publishing unit,purpose
compound: service unit,purpose
compound: trading unit,purpose
compound: teaching assistant,purpose
compound: engineering work,purpose
compound: exploration work,purpose
compound: maintenance work,purpose
compound: modernization work,purpose
compound: preparation work,purpose
compound: protection work,purpose
compound: banking sector,purpose
compound: communication sector,purpose
compound: defence sector,purpose
compound: distribution sector,purpose
compound: engineering sector,purpose
compound: fishing sector,purpose
compound: forestry sector,purpose
compound: government sector,purpose
compound: investment sector,purpose
compound: manufacturing sector,purpose
compound: processing sector,purpose
compound: service sector,purpose
compound: transportation sector,purpose
compound: banking community,purpose
compound: intelligence community,purpose
compound: investment community,purpose
compound: boarding party,purpose
compound: entertainment property,purpose
compound: pound guard,other
compound: pound lineman,other
compound: pound note,other
compound: pound selling,other
compound: pound bomb,other
compound: pound tackle,other
compound: pound junior,other
compound: pound title,other
compound: pound sack,other
compound: tonne lot,other
compound: tonne unit,other
compound: accounting service,attribute
compound: consulting service,attribute
compound: counseling service,attribute
compound: distribution service,attribute
compound: inspection service,attribute
compound: investment service,attribute
compound: listing service,attribute
compound: protection service,attribute
compound: rating service,attribute
compound: relocation service,attribute
compound: testing service,attribute
compound: trading service,attribute
compound: translation service,attribute
compound: transportation service,attribute
compound: trucking service,attribute
compound: catering service,attribute
compound: consultancy service,attribute
compound: employment service,attribute
compound: engineering service,attribute
compound: maintenance service,attribute
compound: repair service,attribute
compound: research service,attribute
compound: banking service,attribute
compound: banking activity,attribute
compound: buying activity,attribute
compound: distribution activity,attribute
compound: exploration activity,attribute
compound: inspection activity,attribute
compound: investment activity,attribute
compound: leasing activity,attribute
compound: manufacturing activity,attribute
compound: savings activity,attribute
compound: settlement activity,attribute
compound: smuggling activity,attribute
compound: spying activity,attribute
compound: trading activity,attribute
compound: battery charge,attribute
compound: bribery charge,attribute
compound: conspiracy charge,attribute
compound: contempt charge,attribute
compound: corruption charge,attribute
compound: drug charge,attribute
compound: embezzlement charge,attribute
compound: ethic charge,attribute
compound: firearm charge,attribute
compound: graft charge,attribute
compound: handling charge,attribute
compound: interest charge,attribute
compound: kidnapping charge,attribute
compound: manslaughter charge,attribute
compound: molestation charge,attribute
compound: obscenity charge,attribute
compound: obstruction charge,attribute
compound: one-off charge,attribute
compound: possession charge,attribute
compound: sex charge,attribute
compound: smuggling charge,attribute
compound: spying charge,attribute
compound: terrorism charge,attribute
compound: theft charge,attribute
compound: torture charge,attribute
compound: weapon charge,attribute
compound: cash assistance,attribute
compound: food assistance,attribute
compound: priority basis,attribute
compound: adversary government,attribute
compound: trick pass,attribute
compound: organized crime activity,attribute
compound: quail embryo,attribute
compound: sham marriage,attribute
compound: sham treatment,attribute
compound: target population,attribute
compound: sham reform,attribute
compound: sham deal,attribute
compound: sham radiation,attribute
compound: sham lien,attribute
compound: novelty furniture,attribute
compound: junta group,attribute
compound: company competitor,attribute
compound: combination package,attribute
compound: design plan,attribute
compound: benchmark bond,attribute
compound: benchmark survey,attribute
compound: booster seat,attribute
compound: code name,attribute
compound: code number,attribute
compound: code word,attribute
compound: companion measure,attribute
compound: companion piece,attribute
compound: computer sensor,attribute
compound: computer server,attribute
compound: condominium unit,attribute
compound: creditor government,attribute
compound: digit number,attribute
compound: dollar equivalent,attribute
compound: draft accord,attribute
compound: draft agreement,attribute
compound: draft code,attribute
compound: draft directive,attribute
compound: draft guideline,attribute
compound: draft plan,attribute
compound: draft protocol,attribute
compound: draft report,attribute
compound: draft resolution,attribute
compound: draft rule,attribute
compound: drug menace,attribute
compound: ensemble cast,attribute
compound: exhibition match,attribute
compound: fault line,attribute
compound: fighter bomber,attribute
compound: filler material,attribute
compound: flagship brand,attribute
compound: flagship company,attribute
compound: flagship store,attribute
compound: freeway artery,attribute
compound: gold leaf inlay,attribute
compound: guide book,attribute
compound: hit album,attribute
compound: hit movie,attribute
compound: hit show,attribute
compound: hit single,attribute
compound: home city,attribute
compound: home county,attribute
compound: home port,attribute
compound: home region,attribute
compound: home village,attribute
compound: host city,attribute
compound: host committee,attribute
compound: host computer,attribute
compound: host government,attribute
compound: host team,attribute
compound: jet fighter,attribute
compound: jet trainer,attribute
compound: junk bond,attribute
compound: junk food,attribute
compound: landmark accord,attribute
compound: landmark agreement,attribute
compound: landmark law,attribute
compound: landmark property,attribute
compound: landmark study,attribute
compound: luxury item,attribute
compound: maximum roll,attribute
compound: minimum percentage,attribute
compound: miracle cure,attribute
compound: movie classic,attribute
compound: outlet store,attribute
compound: benchmark rate,attribute
compound: benchmark issue,attribute
compound: picnic lunch,attribute
compound: portal site,attribute
compound: prefix number,attribute
compound: priority area,attribute
compound: priority project,attribute
compound: priority sector,attribute
compound: protest vote,attribute
compound: quarterfinal match,attribute
compound: replacement driver,attribute
compound: sacrifice bunt,attribute
compound: semifinal match,attribute
compound: sister city,attribute
compound: sister company,attribute
compound: sister party,attribute
compound: snack chip,attribute
compound: source material,attribute
compound: startup company,attribute
compound: tanker truck,attribute
compound: liaison group,attribute
compound: target figure,attribute
compound: target group,attribute
compound: target firm,attribute
compound: target sector,attribute
compound: test explosion,attribute
compound: upset victory,attribute
compound: brokerage house,attribute
compound: warehouse store,attribute
compound: watch import,attribute
compound: watchdog body,attribute
compound: software company,purpose
compound: software firm,purpose
compound: software group,purpose
compound: catalog company,purpose
compound: wine merchant,purpose
compound: automobile company,purpose
compound: boot company,purpose
compound: supply center,purpose
compound: supply company,purpose
compound: supply house,purpose
compound: investment salesman,purpose
compound: aluminum company,purpose
compound: apparel company,purpose
compound: biotechnology company,purpose
compound: biotechnology firm,purpose
compound: biotechnology group,purpose
compound: cable company,purpose
compound: cable group,purpose
compound: cable unit,purpose
compound: car company,purpose
compound: car sector,purpose
compound: childcare center,purpose
compound: cigarette company,purpose
compound: coal company,purpose
compound: coal sector,purpose
compound: computer center,purpose
compound: computer company,purpose
compound: computer firm,purpose
compound: copper company,purpose
compound: water company,purpose
compound: utility company,purpose
compound: drug company,purpose
compound: drug group,purpose
compound: drug unit,purpose
compound: utility sector,purpose
compound: water sector,purpose
compound: electronics company,purpose
compound: electronics firm,purpose
compound: engine company,purpose
compound: food center,purpose
compound: food company,purpose
compound: food group,purpose
compound: fuel company,purpose
compound: gas company,purpose
compound: goods group,purpose
compound: health center,purpose
compound: health committee,purpose
compound: health company,purpose
compound: health group,purpose
compound: health sector,purpose
compound: healthcare company,purpose
compound: healthcare group,purpose
compound: liquor company,purpose
compound: materials company,purpose
compound: materials group,purpose
compound: materials sector,purpose
compound: oil company,purpose
compound: oil firm,purpose
compound: package company,purpose
compound: goods company,purpose
compound: petrochemical company,purpose
compound: petrochemical sector,purpose
compound: pharmaceutical company,purpose
compound: pharmaceutical group,purpose
compound: pharmaceutical sector,purpose
compound: relief center,purpose
compound: relief group,purpose
compound: securities company,purpose
compound: securities firm,purpose
compound: securities house,purpose
compound: self-help group,purpose
compound: sugar company,purpose
compound: taxi company,purpose
compound: tech company,purpose
compound: tech sector,purpose
compound: telecom company,purpose
compound: telecom sector,purpose
compound: tobacco company,purpose
compound: tobacco firm,purpose
compound: timber company,purpose
compound: movie company,purpose
compound: multimedia company,purpose
compound: media center,purpose
compound: media company,purpose
compound: media conglomerate,purpose
compound: media firm,purpose
compound: media group,purpose
compound: media sector,purpose
compound: art center,purpose
compound: art company,purpose
compound: art group,purpose
compound: art house,purpose
compound: art organisation,purpose
compound: aid center,purpose
compound: aid group,purpose
compound: tourism sector,purpose
compound: property company,purpose
compound: property group,purpose
compound: property sector,purpose
compound: pipeline company,purpose
compound: pipeline firm,purpose
compound: component company,purpose
compound: component group,purpose
compound: blood center,purpose
compound: security company,purpose
compound: security firm,purpose
compound: security group,purpose
compound: security house,purpose
compound: security sector,purpose
compound: security unit,purpose
compound: chip company,purpose
compound: loan company,purpose
compound: gas utility,purpose
compound: water utility,purpose
compound: cement company,purpose
compound: housing middleman,purpose
compound: jazz artist,purpose
compound: rap artist,purpose
compound: tattoo artist,purpose
compound: bike company,purpose
compound: spirits company,purpose
compound: electronics group,purpose
compound: gas group,purpose
compound: oil group,purpose
compound: rap group,purpose
compound: tobacco group,purpose
compound: vehicle group,purpose
compound: automobile sector,purpose
compound: drug sector,purpose
compound: electronics sector,purpose
compound: food sector,purpose
compound: gas sector,purpose
compound: goods sector,purpose
compound: oil sector,purpose
compound: coal enterprise,purpose
compound: food unit,purpose
compound: art troupe,purpose
compound: jazz pianist,purpose
compound: software house,purpose
compound: drug mafia,purpose
compound: food conglomerate,purpose
compound: christian value,cause
compound: company strategy,cause
compound: customer need,cause
compound: farmer interest,cause
compound: government secret,cause
compound: investor appetite,cause
compound: investor interest,cause
compound: investor optimism,cause
compound: investor confidence,cause
compound: customer confidence,cause
compound: creditor confidence,cause
compound: government confidence,cause
compound: staff morale,cause
compound: world opinion,cause
compound: student hunger,cause
compound: developer interest,cause
compound: user comfort,cause
compound: infant tetanus,cause
compound: weapon poisoning,objective
compound: disco dancer,objective
compound: lawn service,objective
compound: media research,objective
compound: ocean view,objective
compound: portfolio weighting,objective
compound: car wash,objective
compound: water treatment,objective
compound: house demolition,objective
compound: government shutdown,objective
compound: debt forgiveness,objective
compound: debt cancellation,objective
compound: base closing,objective
compound: bolt cutter,objective
compound: pipeline explosion,objective
compound: debt reduction,objective
compound: spending reduction,objective
compound: rate reduction,objective
compound: workforce reduction,objective
compound: pollution reduction,objective
compound: staff reduction,objective
compound: troop reduction,objective
compound: staff cutback,objective
compound: crime fighter,objective
compound: crime fighting,objective
compound: pay freeze,objective
compound: contribution limit,objective
compound: import restriction,objective
compound: visa restriction,objective
compound: investment restriction,objective
compound: water restriction,objective
compound: age restriction,objective
compound: height restriction,objective
compound: pesticide spraying,objective
compound: rock throwing,objective
compound: rocket launch,objective
compound: baseball pitcher,objective
compound: leaf blower,objective
compound: snow shower,objective
compound: rocket booster,objective
compound: weapon dismantlement,objective
compound: water desalinization,objective
compound: infant circumcision,objective
compound: ice sculptor,objective
compound: debt refinancing,objective
compound: policy reversal,objective
compound: garage opener,objective
compound: oil refining,objective
compound: law reform,objective
compound: healthcare reform,objective
compound: government reform,objective
compound: system reform,objective
compound: enterprise reform,objective
compound: policy reform,objective
compound: banking reform,objective
compound: real estate reform,objective
compound: trade reform,objective
compound: claims adjuster,objective
compound: drug possession,objective
compound: weapon possession,objective
compound: semifinal winner,objective
compound: semifinal loser,objective
compound: book conservationist,objective
compound: property protection,objective
compound: health protection,objective
compound: investor protection,objective
compound: investment protection,objective
compound: food protection,objective
compound: resident protection,objective
compound: community protection,objective
compound: fan protection,objective
compound: gunner protection,objective
compound: journalist protection,objective
compound: portfolio insurer,objective
compound: life insurer,objective
compound: health insurer,objective
compound: life support,objective
compound: line extension,objective
compound: pocket protector,objective
compound: water consumption,objective
compound: food consumption,objective
compound: meat consumption,objective
compound: oil consumption,objective
compound: fuel consumption,objective
compound: wine consumption,objective
compound: drug consumption,objective
compound: copper consumption,objective
compound: cigarette consumption,objective
compound: gas consumption,objective
compound: smoke inhalation,objective
compound: water intake,objective
compound: heroin user,objective
compound: water user,objective
compound: draft evaders,objective
compound: life endangerment,objective
compound: child molestation,objective
compound: inventory forgery,objective
compound: computer hacker,objective
compound: museum visitor,objective
compound: city visitor,objective
compound: class attendance,objective
compound: soybean trader,objective
compound: money trader,objective
compound: takeover trader,objective
compound: security trader,objective
compound: index trader,objective
compound: floor trader,objective
compound: commodity trader,objective
compound: oil trader,objective
compound: copper trader,objective
compound: future trader,objective
compound: options trader,objective
compound: futures trader,objective
compound: futures trading,objective
compound: commodity trading,objective
compound: securities trading,objective
compound: dollar trading,objective
compound: portfolio trading,objective
compound: services trade,objective
compound: world trade,objective
compound: future trade,objective
compound: security trade,objective
compound: banana smuggling,objective
compound: caviar smuggling,objective
compound: medicine smuggling,objective
compound: spirits smuggling,objective
compound: weapon proliferation,objective
compound: drug smuggling,objective
compound: gas transportation,objective
compound: passenger transportation,objective
compound: baggage handling,objective
compound: hotel expansion,objective
compound: airport expansion,objective
compound: fund expansion,objective
compound: settlement expansion,objective
compound: inventory buildup,objective
compound: troop buildup,objective
compound: salary increase,objective
compound: service increase,objective
compound: spending increase,objective
compound: fee increase,objective
compound: pay increase,objective
compound: tuition increase,objective
compound: dividend increase,objective
compound: tuition inflation,objective
compound: morale boost,objective
compound: pay boost,objective
compound: money launderer,objective
compound: money laundering,objective
compound: word processing,objective
compound: petrochemical processing,objective
compound: batch processing,objective
compound: food processing,objective
compound: paint thinner,objective
compound: engine repair,objective
compound: highway repair,objective
compound: home repair,objective
compound: equipment repairman,objective
compound: home maintenance,objective
compound: dollar rally,objective
compound: population explosion,objective
compound: population increase,objective
compound: profit increase,objective
compound: sales increase,objective
compound: money loser,objective
compound: terrorism eradication,objective
compound: class cancellation,objective
compound: cop poisoning,objective
compound: wound infection,objective
compound: child poisoning,objective
compound: shop burning,objective
compound: shrine burning,objective
compound: synagogue burning,objective
compound: system poisoning,objective
compound: city inhabitant,objective
compound: computer controller,objective
compound: museum curator,objective
compound: world domination,objective
compound: banking regulator,objective
compound: gas regulator,objective
compound: safety regulator,objective
compound: securities regulator,objective
compound: security regulator,objective
compound: thrift regulator,objective
compound: thrift industry regulator,objective
compound: water regulator,objective
compound: city administration,objective
compound: commodity administration,objective
compound: government administration,objective
compound: name recognition,objective
compound: brand recognition,objective
compound: signal detection,objective
compound: safety inspection,objective
compound: weapon inspection,objective
compound: impact study,objective
compound: health study,objective
compound: feasibility study,objective
compound: policy study,objective
compound: drug study,objective
compound: safety study,objective
compound: research study,objective
compound: law study,objective
compound: engineering study,objective
compound: biotechnology research,objective
compound: fusion research,objective
compound: cancer research,objective
compound: health research,objective
compound: stem research,objective
compound: future research,objective
compound: aids research,objective
compound: drug research,objective
compound: fund research,objective
compound: material research,objective
compound: oil analyst,objective
compound: commodity analyst,objective
compound: food analyst,objective
compound: sugar analyst,objective
compound: future analyst,objective
compound: investment analyst,objective
compound: entertainment analyst,objective
compound: chip analyst,objective
compound: sector analyst,objective
compound: football analyst,objective
compound: biotechnology analyst,objective
compound: research analyst,objective
compound: defense analyst,objective
compound: aerospace analyst,objective
compound: media analyst,objective
compound: system analyst,objective
compound: policy analyst,objective
compound: retail analyst,objective
compound: security analyst,objective
compound: drug analyst,objective
compound: securities analyst,objective
compound: child psychoanalysis,objective
compound: blood testing,objective
compound: opinion survey,objective
compound: farm survey,objective
compound: motorist survey,objective
compound: reader survey,objective
compound: rider survey,objective
compound: workplace survey,objective
compound: engineering student,objective
compound: science student,objective
compound: law student,objective
compound: architecture student,objective
compound: health researcher,objective
compound: aids researcher,objective
compound: cancer researcher,objective
compound: wave researcher,objective
compound: accident investigator,objective
compound: safety investigator,objective
compound: health inspector,objective
compound: weapon inspector,objective
compound: safety inspector,objective
compound: committee watcher,objective
compound: heart monitor,objective
compound: peace monitor,objective
compound: rate manipulation,objective
compound: transportation deregulation,objective
compound: hair stylist,objective
compound: meat chopper,objective
compound: pollution cleanup,objective
compound: party cleanup,objective
compound: hurricane cleanup,objective
compound: quake cleanup,objective
compound: silt clearance,objective
compound: snow clearance,objective
compound: snow clearing,objective
compound: trash cleanup,objective
compound: cash withdrawal,objective
compound: license suspension,objective
compound: trading suspension,objective
compound: troop withdrawal,objective
compound: debt servicing,objective
compound: investment guarantee,objective
compound: loan guarantee,objective
compound: credibility guarantee,objective
compound: peace guarantee,objective
compound: occupancy guarantee,objective
compound: liberty guarantee,objective
compound: profit guarantee,objective
compound: rate guarantee,objective
compound: refund guarantee,objective
compound: meat packer,objective
compound: hormone replacement,objective
compound: data collection,objective
compound: debt collection,objective
compound: art collector,objective
compound: debt collector,objective
compound: soybean harvest,objective
compound: sugar harvest,objective
compound: timber harvest,objective
compound: wheat harvest,objective
compound: fund raiser,objective
compound: fund raising,objective
compound: particle catcher,objective
compound: deer hunting,objective
compound: duck hunting,objective
compound: chicken catcher,objective
compound: crab catcher,objective
compound: whale hunt,objective
compound: automobile buying,objective
compound: book buying,objective
compound: dollar buying,objective
compound: fund buying,objective
compound: home buying,objective
compound: vote buying,objective
compound: banana import,objective
compound: car import,objective
compound: food import,objective
compound: oil import,objective
compound: sugar import,objective
compound: wheat import,objective
compound: banana importation,objective
compound: chicken importation,objective
compound: pumpkin importation,objective
compound: car rental,objective
compound: autograph seeker,objective
compound: cattle rustling,objective
compound: ecstasy seizure,objective
compound: profit taking,objective
compound: art theft,objective
compound: car theft,objective
compound: computer theft,objective
compound: vehicle theft,objective
compound: art thief,objective
compound: car thief,objective
compound: fumble recovery,objective
compound: profit recovery,objective
compound: reinsurance recovery,objective
compound: minority recruitment,objective
compound: goal scorer,objective
compound: thrift takeover,objective
compound: award winner,objective
compound: money winner,objective
compound: art critic,objective
compound: government critic,objective
compound: book critic,objective
compound: media critic,objective
compound: food critic,objective
compound: science teacher,objective
compound: history teacher,objective
compound: design teacher,objective
compound: gym teacher,objective
compound: art teacher,objective
compound: property write-down,objective
compound: inventory write-down,objective
compound: cash injection,objective
compound: fuel injection,objective
compound: insulin injection,objective
compound: influence peddling,objective
compound: troop redeployment,objective
compound: food distribution,objective
compound: horse trainer,objective
compound: team trainer,objective
compound: food container,objective
compound: bomb explosion,objective
compound: trails coordinator,objective
compound: relief coordinator,objective
