n1	n2	label	setting	compound_text
city	lawyer	owner_emp_use	mask_head	modifier: city ; head: [MASK]
company	lawyer	owner_emp_use	full	modifier: company ; head: lawyer
company	lawyer	owner_emp_use	mask_modifier	modifier: [MASK] ; head: lawyer
company	lawyer	owner_emp_use	mask_head	modifier: company ; head: [MASK]
defence	lawyer	owner_emp_use	full	modifier: defence ; head: lawyer
defence	lawyer	owner_emp_use	mask_modifier	modifier: [MASK] ; head: lawyer
defence	lawyer	owner_emp_use	mask_head	modifier: defence ; head: [MASK]
government	lawyer	owner_emp_use	full	modifier: government ; head: lawyer
government	lawyer	owner_emp_use	mask_modifier	modifier: [MASK] ; head: lawyer
government	lawyer	owner_emp_use	mask_head	modifier: government ; head: [MASK]
army	lieutenant	owner_emp_use	full	modifier: army ; head: lieutenant
army	lieutenant	owner_emp_use	mask_modifier	modifier: [MASK] ; head: lieutenant
army	lieutenant	owner_emp_use	mask_head	modifier: army ; head: [MASK]
housing	lobby	owner_emp_use	full	modifier: housing ; head: lobby
housing	lobby	owner_emp_use	mask_modifier	modifier: [MASK] ; head: lobby
housing	lobby	owner_emp_use	mask_head	modifier: housing ; head: [MASK]
government	ministry	owner_emp_use	full	modifier: government ; head: ministry
government	ministry	owner_emp_use	mask_modifier	modifier: [MASK] ; head: ministry
government	ministry	owner_emp_use	mask_head	modifier: government ; head: [MASK]
army	officer	owner_emp_use	full	modifier: army ; head: officer
army	officer	owner_emp_use	mask_modifier	modifier: [MASK] ; head: officer
army	officer	owner_emp_use	mask_head	modifier: army ; head: [MASK]
city	officer	owner_emp_use	full	modifier: city ; head: officer
city	officer	owner_emp_use	mask_modifier	modifier: [MASK] ; head: officer
city	officer	owner_emp_use	mask_head	modifier: city ; head: [MASK]
company	officer	owner_emp_use	full	modifier: company ; head: officer
company	officer	owner_emp_use	mask_modifier	modifier: [MASK] ; head: officer
company	officer	owner_emp_use	mask_head	modifier: company ; head: [MASK]
government	officer	owner_emp_use	full	modifier: government ; head: officer
government	officer	owner_emp_use	mask_modifier	modifier: [MASK] ; head: officer
government	officer	owner_emp_use	mask_head	modifier: government ; head: [MASK]
navy	officer	owner_emp_use	full	modifier: navy ; head: officer
navy	officer	owner_emp_use	mask_modifier	modifier: [MASK] ; head: officer
navy	officer	owner_emp_use	mask_head	modifier: navy ; head: [MASK]
police	officer	owner_emp_use	full	modifier: police ; head: officer
police	officer	owner_emp_use	mask_modifier	modifier: [MASK] ; head: officer
police	officer	owner_emp_use	mask_head	modifier: police ; head: [MASK]
press	officer	owner_emp_use	full	modifier: press ; head: officer
press	officer	owner_emp_use	mask_modifier	modifier: [MASK] ; head: officer
press	officer	owner_emp_use	mask_head	modifier: press ; head: [MASK]
administration	official	owner_emp_use	full	modifier: administration ; head: official
administration	official	owner_emp_use	mask_modifier	modifier: [MASK] ; head: official
administration	official	owner_emp_use	mask_head	modifier: administration ; head: [MASK]
agency	official	owner_emp_use	full	modifier: agency ; head: official
agency	official	owner_emp_use	mask_modifier	modifier: [MASK] ; head: official
agency	official	owner_emp_use	mask_head	modifier: agency ; head: [MASK]
airport	official	owner_emp_use	full	modifier: airport ; head: official
airport	official	owner_emp_use	mask_modifier	modifier: [MASK] ; head: official
airport	official	owner_emp_use	mask_head	modifier: airport ; head: [MASK]
army	official	owner_emp_use	full	modifier: army ; head: official
army	official	owner_emp_use	mask_modifier	modifier: [MASK] ; head: official
army	official	owner_emp_use	mask_head	modifier: army ; head: [MASK]
brokerage	official	owner_emp_use	full	modifier: brokerage ; head: official
brokerage	official	owner_emp_use	mask_modifier	modifier: [MASK] ; head: official
brokerage	official	owner_emp_use	mask_head	modifier: brokerage ; head: [MASK]
city	official	owner_emp_use	full	modifier: city ; head: official
city	official	owner_emp_use	mask_modifier	modifier: [MASK] ; head: official
city	official	owner_emp_use	mask_head	modifier: city ; head: [MASK]
commission	official	owner_emp_use	full	modifier: commission ; head: official
commission	official	owner_emp_use	mask_modifier	modifier: [MASK] ; head: official
commission	official	owner_emp_use	mask_head	modifier: commission ; head: [MASK]
committee	official	owner_emp_use	full	modifier: committee ; head: official
committee	official	owner_emp_use	mask_modifier	modifier: [MASK] ; head: official
committee	official	owner_emp_use	mask_head	modifier: committee ; head: [MASK]
company	official	owner_emp_use	full	modifier: company ; head: official
company	official	owner_emp_use	mask_modifier	modifier: [MASK] ; head: official
company	official	owner_emp_use	mask_head	modifier: company ; head: [MASK]
foundation	official	owner_emp_use	full	modifier: foundation ; head: official
foundation	official	owner_emp_use	mask_modifier	modifier: [MASK] ; head: official
foundation	official	owner_emp_use	mask_head	modifier: foundation ; head: [MASK]
government	official	owner_emp_use	full	modifier: government ; head: official
government	official	owner_emp_use	mask_modifier	modifier: [MASK] ; head: official
government	official	owner_emp_use	mask_head	modifier: government ; head: [MASK]
hotel	official	owner_emp_use	full	modifier: hotel ; head: official
hotel	official	owner_emp_use	mask_modifier	modifier: [MASK] ; head: official
hotel	official	owner_emp_use	mask_head	modifier: hotel ; head: [MASK]
labour	official	owner_emp_use	full	modifier: labour ; head: official
labour	official	owner_emp_use	mask_modifier	modifier: [MASK] ; head: official
labour	official	owner_emp_use	mask_head	modifier: labour ; head: [MASK]
military	official	owner_emp_use	full	modifier: military ; head: official
military	official	owner_emp_use	mask_modifier	modifier: [MASK] ; head: official
military	official	owner_emp_use	mask_head	modifier: military ; head: [MASK]
ministry	official	owner_emp_use	full	modifier: ministry ; head: official
ministry	official	owner_emp_use	mask_modifier	modifier: [MASK] ; head: official
ministry	official	owner_emp_use	mask_head	modifier: ministry ; head: [MASK]
museum	official	owner_emp_use	full	modifier: museum ; head: official
museum	official	owner_emp_use	mask_modifier	modifier: [MASK] ; head: official
museum	official	owner_emp_use	mask_head	modifier: museum ; head: [MASK]
navy	official	owner_emp_use	full	modifier: navy ; head: official
navy	official	owner_emp_use	mask_modifier	modifier: [MASK] ; head: official
navy	official	owner_emp_use	mask_head	modifier: navy ; head: [MASK]
opposition	official	owner_emp_use	full	modifier: opposition ; head: official
opposition	official	owner_emp_use	mask_modifier	modifier: [MASK] ; head: official
opposition	official	owner_emp_use	mask_head	modifier: opposition ; head: [MASK]
party	official	owner_emp_use	full	modifier: party ; head: official
party	official	owner_emp_use	mask_modifier	modifier: [MASK] ; head: official
party	official	owner_emp_use	mask_head	modifier: party ; head: [MASK]
police	official	owner_emp_use	full	modifier: police ; head: official
police	official	owner_emp_use	mask_modifier	modifier: [MASK] ; head: official
police	official	owner_emp_use	mask_head	modifier: police ; head: [MASK]
press	official	owner_emp_use	full	modifier: press ; head: official
press	official	owner_emp_use	mask_modifier	modifier: [MASK] ; head: official
press	official	owner_emp_use	mask_head	modifier: press ; head: [MASK]
prison	official	owner_emp_use	full	modifier: prison ; head: official
prison	official	owner_emp_use	mask_modifier	modifier: [MASK] ; head: official
prison	official	owner_emp_use	mask_head	modifier: prison ; head: [MASK]
railroad	official	owner_emp_use	full	modifier: railroad ; head: official
railroad	official	owner_emp_use	mask_modifier	modifier: [MASK] ; head: official
railroad	official	owner_emp_use	mask_head	modifier: railroad ; head: [MASK]
team	official	owner_emp_use	full	modifier: team ; head: official
team	official	owner_emp_use	mask_modifier	modifier: [MASK] ; head: official
team	official	owner_emp_use	mask_head	modifier: team ; head: [MASK]
village	official	owner_emp_use	full	modifier: village ; head: official
village	official	owner_emp_use	mask_modifier	modifier: [MASK] ; head: official
village	official	owner_emp_use	mask_head	modifier: village ; head: [MASK]
zoo	official	owner_emp_use	full	modifier: zoo ; head: official
zoo	official	owner_emp_use	mask_modifier	modifier: [MASK] ; head: official
zoo	official	owner_emp_use	mask_head	modifier: zoo ; head: [MASK]
employer	organisation	owner_emp_use	full	modifier: employer ; head: organisation
employer	organisation	owner_emp_use	mask_modifier	modifier: [MASK] ; head: organisation
employer	organisation	owner_emp_use	mask_head	modifier: employer ; head: [MASK]
government	panel	owner_emp_use	full	modifier: government ; head: panel
government	panel	owner_emp_use	mask_modifier	modifier: [MASK] ; head: panel
government	panel	owner_emp_use	mask_head	modifier: government ; head: [MASK]
army	patrol	owner_emp_use	full	modifier: army ; head: patrol
army	patrol	owner_emp_use	mask_modifier	modifier: [MASK] ; head: patrol
army	patrol	owner_emp_use	mask_head	modifier: army ; head: [MASK]
police	patrol	owner_emp_use	full	modifier: police ; head: patrol
police	patrol	owner_emp_use	mask_modifier	modifier: [MASK] ; head: patrol
police	patrol	owner_emp_use	mask_head	modifier: police ; head: [MASK]
team	physician	owner_emp_use	full	modifier: team ; head: physician
team	physician	owner_emp_use	mask_modifier	modifier: [MASK] ; head: physician
team	physician	owner_emp_use	mask_head	modifier: team ; head: [MASK]
city	police	owner_emp_use	full	modifier: city ; head: police
city	police	owner_emp_use	mask_modifier	modifier: [MASK] ; head: police
city	police	owner_emp_use	mask_head	modifier: city ; head: [MASK]
government	regulator	owner_emp_use	full	modifier: government ; head: regulator
government	regulator	owner_emp_use	mask_modifier	modifier: [MASK] ; head: regulator
government	regulator	owner_emp_use	mask_head	modifier: government ; head: [MASK]
company	representative	owner_emp_use	full	modifier: company ; head: representative
company	representative	owner_emp_use	mask_modifier	modifier: [MASK] ; head: representative
company	representative	owner_emp_use	mask_head	modifier: company ; head: [MASK]
government	representative	owner_emp_use	full	modifier: government ; head: representative
government	representative	owner_emp_use	mask_modifier	modifier: [MASK] ; head: representative
government	representative	owner_emp_use	mask_head	modifier: government ; head: [MASK]
media	representative	owner_emp_use	full	modifier: media ; head: representative
media	representative	owner_emp_use	mask_modifier	modifier: [MASK] ; head: representative
media	representative	owner_emp_use	mask_head	modifier: media ; head: [MASK]
party	representative	owner_emp_use	full	modifier: party ; head: representative
party	representative	owner_emp_use	mask_modifier	modifier: [MASK] ; head: representative
party	representative	owner_emp_use	mask_head	modifier: party ; head: [MASK]
government	researcher	owner_emp_use	full	modifier: government ; head: researcher
government	researcher	owner_emp_use	mask_modifier	modifier: [MASK] ; head: researcher
government	researcher	owner_emp_use	mask_head	modifier: government ; head: [MASK]
government	scientist	owner_emp_use	full	modifier: government ; head: scientist
government	scientist	owner_emp_use	mask_modifier	modifier: [MASK] ; head: scientist
government	scientist	owner_emp_use	mask_head	modifier: government ; head: [MASK]
project	scientist	owner_emp_use	full	modifier: project ; head: scientist
project	scientist	owner_emp_use	mask_modifier	modifier: [MASK] ; head: scientist
project	scientist	owner_emp_use	mask_head	modifier: project ; head: [MASK]
city	solicitor	owner_emp_use	full	modifier: city ; head: solicitor
city	solicitor	owner_emp_use	mask_modifier	modifier: [MASK] ; head: solicitor
city	solicitor	owner_emp_use	mask_head	modifier: city ; head: [MASK]
administration	source	owner_emp_use	full	modifier: administration ; head: source
administration	source	owner_emp_use	mask_modifier	modifier: [MASK] ; head: source
administration	source	owner_emp_use	mask_head	modifier: administration ; head: [MASK]
airport	source	owner_emp_use	full	modifier: airport ; head: source
airport	source	owner_emp_use	mask_modifier	modifier: [MASK] ; head: source
airport	source	owner_emp_use	mask_head	modifier: airport ; head: [MASK]
army	source	owner_emp_use	full	modifier: army ; head: source
army	source	owner_emp_use	mask_modifier	modifier: [MASK] ; head: source
army	source	owner_emp_use	mask_head	modifier: army ; head: [MASK]
committee	source	owner_emp_use	full	modifier: committee ; head: source
committee	source	owner_emp_use	mask_modifier	modifier: [MASK] ; head: source
committee	source	owner_emp_use	mask_head	modifier: committee ; head: [MASK]
company	source	owner_emp_use	full	modifier: company ; head: source
company	source	owner_emp_use	mask_modifier	modifier: [MASK] ; head: source
company	source	owner_emp_use	mask_head	modifier: company ; head: [MASK]
government	source	owner_emp_use	full	modifier: government ; head: source
government	source	owner_emp_use	mask_modifier	modifier: [MASK] ; head: source
government	source	owner_emp_use	mask_head	modifier: government ; head: [MASK]
media	source	owner_emp_use	full	modifier: media ; head: source
media	source	owner_emp_use	mask_modifier	modifier: [MASK] ; head: source
media	source	owner_emp_use	mask_head	modifier: media ; head: [MASK]
military	source	owner_emp_use	full	modifier: military ; head: source
military	source	owner_emp_use	mask_modifier	modifier: [MASK] ; head: source
military	source	owner_emp_use	mask_head	modifier: military ; head: [MASK]
ministry	source	owner_emp_use	full	modifier: ministry ; head: source
ministry	source	owner_emp_use	mask_modifier	modifier: [MASK] ; head: source
ministry	source	owner_emp_use	mask_head	modifier: ministry ; head: [MASK]
navy	source	owner_emp_use	full	modifier: navy ; head: source
navy	source	owner_emp_use	mask_modifier	modifier: [MASK] ; head: source
navy	source	owner_emp_use	mask_head	modifier: navy ; head: [MASK]
opposition	source	owner_emp_use	full	modifier: opposition ; head: source
opposition	source	owner_emp_use	mask_modifier	modifier: [MASK] ; head: source
opposition	source	owner_emp_use	mask_head	modifier: opposition ; head: [MASK]
party	source	owner_emp_use	full	modifier: party ; head: source
party	source	owner_emp_use	mask_modifier	modifier: [MASK] ; head: source
party	source	owner_emp_use	mask_head	modifier: party ; head: [MASK]
police	source	owner_emp_use	full	modifier: police ; head: source
police	source	owner_emp_use	mask_modifier	modifier: [MASK] ; head: source
police	source	owner_emp_use	mask_head	modifier: police ; head: [MASK]
team	source	owner_emp_use	full	modifier: team ; head: source
team	source	owner_emp_use	mask_modifier	modifier: [MASK] ; head: source
team	source	owner_emp_use	mask_head	modifier: team ; head: [MASK]
affairs	spokesman	owner_emp_use	full	modifier: affairs ; head: spokesman
affairs	spokesman	owner_emp_use	mask_modifier	modifier: [MASK] ; head: spokesman
affairs	spokesman	owner_emp_use	mask_head	modifier: affairs ; head: [MASK]
airport	spokesman	owner_emp_use	full	modifier: airport ; head: spokesman
airport	spokesman	owner_emp_use	mask_modifier	modifier: [MASK] ; head: spokesman
airport	spokesman	owner_emp_use	mask_head	modifier: airport ; head: [MASK]
army	spokesman	owner_emp_use	full	modifier: army ; head: spokesman
army	spokesman	owner_emp_use	mask_modifier	modifier: [MASK] ; head: spokesman
army	spokesman	owner_emp_use	mask_head	modifier: army ; head: [MASK]
city	spokesman	owner_emp_use	full	modifier: city ; head: spokesman
city	spokesman	owner_emp_use	mask_modifier	modifier: [MASK] ; head: spokesman
city	spokesman	owner_emp_use	mask_head	modifier: city ; head: [MASK]
commission	spokesman	owner_emp_use	full	modifier: commission ; head: spokesman
commission	spokesman	owner_emp_use	mask_modifier	modifier: [MASK] ; head: spokesman
commission	spokesman	owner_emp_use	mask_head	modifier: commission ; head: [MASK]
committee	spokesman	owner_emp_use	full	modifier: committee ; head: spokesman
committee	spokesman	owner_emp_use	mask_modifier	modifier: [MASK] ; head: spokesman
committee	spokesman	owner_emp_use	mask_head	modifier: committee ; head: [MASK]
company	spokesman	owner_emp_use	full	modifier: company ; head: spokesman
company	spokesman	owner_emp_use	mask_modifier	modifier: [MASK] ; head: spokesman
company	spokesman	owner_emp_use	mask_head	modifier: company ; head: [MASK]
defence	spokesman	owner_emp_use	full	modifier: defence ; head: spokesman
defence	spokesman	owner_emp_use	mask_modifier	modifier: [MASK] ; head: spokesman
defence	spokesman	owner_emp_use	mask_head	modifier: defence ; head: [MASK]
employment	spokesman	owner_emp_use	full	modifier: employment ; head: spokesman
employment	spokesman	owner_emp_use	mask_modifier	modifier: [MASK] ; head: spokesman
employment	spokesman	owner_emp_use	mask_head	modifier: employment ; head: [MASK]
government	spokesman	owner_emp_use	full	modifier: government ; head: spokesman
government	spokesman	owner_emp_use	mask_modifier	modifier: [MASK] ; head: spokesman
government	spokesman	owner_emp_use	mask_head	modifier: government ; head: [MASK]
health	spokesman	owner_emp_use	full	modifier: health ; head: spokesman
health	spokesman	owner_emp_use	mask_modifier	modifier: [MASK] ; head: spokesman
health	spokesman	owner_emp_use	mask_head	modifier: health ; head: [MASK]
labour	spokesman	owner_emp_use	full	modifier: labour ; head: spokesman
labour	spokesman	owner_emp_use	mask_modifier	modifier: [MASK] ; head: spokesman
labour	spokesman	owner_emp_use	mask_head	modifier: labour ; head: [MASK]
military	spokesman	owner_emp_use	full	modifier: military ; head: spokesman
military	spokesman	owner_emp_use	mask_modifier	modifier: [MASK] ; head: spokesman
military	spokesman	owner_emp_use	mask_head	modifier: military ; head: [MASK]
ministry	spokesman	owner_emp_use	full	modifier: ministry ; head: spokesman
ministry	spokesman	owner_emp_use	mask_modifier	modifier: [MASK] ; head: spokesman
ministry	spokesman	owner_emp_use	mask_head	modifier: ministry ; head: [MASK]
navy	spokesman	owner_emp_use	full	modifier: navy ; head: spokesman
navy	spokesman	owner_emp_use	mask_modifier	modifier: [MASK] ; head: spokesman
navy	spokesman	owner_emp_use	mask_head	modifier: navy ; head: [MASK]
opposition	spokesman	owner_emp_use	full	modifier: opposition ; head: spokesman
opposition	spokesman	owner_emp_use	mask_modifier	modifier: [MASK] ; head: spokesman
opposition	spokesman	owner_emp_use	mask_head	modifier: opposition ; head: [MASK]
party	spokesman	owner_emp_use	full	modifier: party ; head: spokesman
party	spokesman	owner_emp_use	mask_modifier	modifier: [MASK] ; head: spokesman
party	spokesman	owner_emp_use	mask_head	modifier: party ; head: [MASK]
police	spokesman	owner_emp_use	full	modifier: police ; head: spokesman
police	spokesman	owner_emp_use	mask_modifier	modifier: [MASK] ; head: spokesman
police	spokesman	owner_emp_use	mask_head	modifier: police ; head: [MASK]
press	spokesman	owner_emp_use	full	modifier: press ; head: spokesman
press	spokesman	owner_emp_use	mask_modifier	modifier: [MASK] ; head: spokesman
press	spokesman	owner_emp_use	mask_head	modifier: press ; head: [MASK]
prison	spokesman	owner_emp_use	full	modifier: prison ; head: spokesman
prison	spokesman	owner_emp_use	mask_modifier	modifier: [MASK] ; head: spokesman
prison	spokesman	owner_emp_use	mask_head	modifier: prison ; head: [MASK]
security	spokesman	owner_emp_use	full	modifier: security ; head: spokesman
